cluster_id,day,month,nyt_id,nyt_pdf_endpoint,perceived_author_gender,xml_id,year,yearDecimal,filename
1,6,4,4fc06f4445c1498b0d2d3c89,https://timesmachine.nytimes.com/timesmachine/1919/04/06/98284195.pdf,f,98284195,1919,1919.2602739726028,4fc06f4445c1498b0d2d3c89-1.csv
2,6,4,4fc06f4445c1498b0d2d3c89,https://timesmachine.nytimes.com/timesmachine/1919/04/06/98284195.pdf,m,98284195,1919,1919.2602739726028,4fc06f4445c1498b0d2d3c89-2.csv
3,6,4,4fc06f4445c1498b0d2d3c89,https://timesmachine.nytimes.com/timesmachine/1919/04/06/98284195.pdf,m,98284195,1919,1919.2602739726028,4fc06f4445c1498b0d2d3c89-3.csv
1,7,1,4fc059ea45c1498b0d26ebd9,https://timesmachine.nytimes.com/timesmachine/1912/01/07/100579431.pdf,m,100579431,1912,1912.016393442623,4fc059ea45c1498b0d26ebd9-1.csv
2,7,1,4fc059ea45c1498b0d26ebd9,https://timesmachine.nytimes.com/timesmachine/1912/01/07/100579431.pdf,f,100579431,1912,1912.016393442623,4fc059ea45c1498b0d26ebd9-2.csv
1,21,1,4fc05bf945c1498b0d2781b4,https://timesmachine.nytimes.com/timesmachine/1912/01/21/100347455.pdf,m,100347455,1912,1912.0546448087432,4fc05bf945c1498b0d2781b4-1.csv
2,21,1,4fc05bf945c1498b0d2781b4,https://timesmachine.nytimes.com/timesmachine/1912/01/21/100347455.pdf,m,100347455,1912,1912.0546448087432,4fc05bf945c1498b0d2781b4-2.csv
1,2,10,4fc07e0a45c1498b0d31c7f1,https://timesmachine.nytimes.com/timesmachine/1921/10/02/107026086.pdf,f,107026086,1921,1921.7506849315068,4fc07e0a45c1498b0d31c7f1-1.csv
2,2,10,4fc07e0a45c1498b0d31c7f1,https://timesmachine.nytimes.com/timesmachine/1921/10/02/107026086.pdf,f,107026086,1921,1921.7506849315068,4fc07e0a45c1498b0d31c7f1-2.csv
3,2,10,4fc07e0a45c1498b0d31c7f1,https://timesmachine.nytimes.com/timesmachine/1921/10/02/107026086.pdf,m,107026086,1921,1921.7506849315068,4fc07e0a45c1498b0d31c7f1-3.csv
4,2,10,4fc07e0a45c1498b0d31c7f1,https://timesmachine.nytimes.com/timesmachine/1921/10/02/107026086.pdf,m,107026086,1921,1921.7506849315068,4fc07e0a45c1498b0d31c7f1-4.csv
5,2,10,4fc07e0a45c1498b0d31c7f1,https://timesmachine.nytimes.com/timesmachine/1921/10/02/107026086.pdf,m,107026086,1921,1921.7506849315068,4fc07e0a45c1498b0d31c7f1-5.csv
6,2,10,4fc07e0a45c1498b0d31c7f1,https://timesmachine.nytimes.com/timesmachine/1921/10/02/107026086.pdf,none,107026086,1921,1921.7506849315068,4fc07e0a45c1498b0d31c7f1-6.csv
1,21,12,4fc06b2845c1498b0d2be9a9,https://timesmachine.nytimes.com/timesmachine/1913/12/21/100293057.pdf,f,100293057,1913,1913.9698630136984,4fc06b2845c1498b0d2be9a9-1.csv
1,10,11,4fc0663c45c1498b0d2a7e9c,https://timesmachine.nytimes.com/timesmachine/1912/11/10/100556515.pdf,f,100556515,1912,1912.857923497268,4fc0663c45c1498b0d2a7e9c-1.csv
1,29,11,4fc0610045c1498b0d28f6d7,https://timesmachine.nytimes.com/timesmachine/1914/11/29/100118531.pdf,m,100118531,1914,1914.909589041096,4fc0610045c1498b0d28f6d7-1.csv
2,29,11,4fc0610045c1498b0d28f6d7,https://timesmachine.nytimes.com/timesmachine/1914/11/29/100118531.pdf,m,100118531,1914,1914.909589041096,4fc0610045c1498b0d28f6d7-2.csv
1,16,1,4fc06e9845c1498b0d2cfc06,https://timesmachine.nytimes.com/timesmachine/1916/01/16/104236032.pdf,f,104236032,1916,1916.0409836065571,4fc06e9845c1498b0d2cfc06-1.csv
2,16,1,4fc06e9845c1498b0d2cfc06,https://timesmachine.nytimes.com/timesmachine/1916/01/16/104236032.pdf,m,104236032,1916,1916.0409836065571,4fc06e9845c1498b0d2cfc06-2.csv
1,7,9,4fc0506445c1498b0d245056,https://timesmachine.nytimes.com/timesmachine/1907/09/07/104708330.pdf,m,104708330,1907,1907.682191780822,4fc0506445c1498b0d245056-1.csv
1,16,11,4fc062df45c1498b0d29870f,https://timesmachine.nytimes.com/timesmachine/1913/11/16/100661657.pdf,f,100661657,1913,1913.8739726027395,4fc062df45c1498b0d29870f-1.csv
1,23,4,4fc0567545c1498b0d25f728,https://timesmachine.nytimes.com/timesmachine/1910/04/23/104930817.pdf,m,104930817,1910,1910.3068493150688,4fc0567545c1498b0d25f728-1.csv
2,23,4,4fc0567545c1498b0d25f728,https://timesmachine.nytimes.com/timesmachine/1910/04/23/104930817.pdf,f,104930817,1910,1910.3068493150688,4fc0567545c1498b0d25f728-2.csv
1,27,3,4fc05bc645c1498b0d277dd8,https://timesmachine.nytimes.com/timesmachine/1909/03/27/101735609.pdf,m,101735609,1909,1909.2328767123288,4fc05bc645c1498b0d277dd8-1.csv
2,27,3,4fc05bc645c1498b0d277dd8,https://timesmachine.nytimes.com/timesmachine/1909/03/27/101735609.pdf,m,101735609,1909,1909.2328767123288,4fc05bc645c1498b0d277dd8-2.csv
3,27,3,4fc05bc645c1498b0d277dd8,https://timesmachine.nytimes.com/timesmachine/1909/03/27/101735609.pdf,m,101735609,1909,1909.2328767123288,4fc05bc645c1498b0d277dd8-3.csv
1,24,8,4fc04a8345c1498b0d22afe9,https://timesmachine.nytimes.com/timesmachine/1907/08/24/104706720.pdf,f,104706720,1907,1907.6438356164383,4fc04a8345c1498b0d22afe9-1.csv
1,5,6,4fc05c3b45c1498b0d27a26a,https://timesmachine.nytimes.com/timesmachine/1909/06/05/106719108.pdf,m,106719108,1909,1909.4246575342463,4fc05c3b45c1498b0d27a26a-1.csv
2,5,6,4fc05c3b45c1498b0d27a26a,https://timesmachine.nytimes.com/timesmachine/1909/06/05/106719108.pdf,m,106719108,1909,1909.4246575342463,4fc05c3b45c1498b0d27a26a-2.csv
1,22,6,4fc057e145c1498b0d266801,https://timesmachine.nytimes.com/timesmachine/1907/06/22/106756062.pdf,m,106756062,1907,1907.4712328767123,4fc057e145c1498b0d266801-1.csv
1,30,7,4fc0644645c1498b0d29e9fc,https://timesmachine.nytimes.com/timesmachine/1911/07/30/104831328.pdf,m,104831328,1911,1911.5753424657537,4fc0644645c1498b0d29e9fc-1.csv
2,30,7,4fc0644645c1498b0d29e9fc,https://timesmachine.nytimes.com/timesmachine/1911/07/30/104831328.pdf,m,104831328,1911,1911.5753424657537,4fc0644645c1498b0d29e9fc-2.csv
3,30,7,4fc0644645c1498b0d29e9fc,https://timesmachine.nytimes.com/timesmachine/1911/07/30/104831328.pdf,m,104831328,1911,1911.5753424657537,4fc0644645c1498b0d29e9fc-3.csv
1,7,1,4fc058fd45c1498b0d26aa0c,https://timesmachine.nytimes.com/timesmachine/1912/01/07/100579417.pdf,m,100579417,1912,1912.016393442623,4fc058fd45c1498b0d26aa0c-1.csv
2,7,1,4fc058fd45c1498b0d26aa0c,https://timesmachine.nytimes.com/timesmachine/1912/01/07/100579417.pdf,f,100579417,1912,1912.016393442623,4fc058fd45c1498b0d26aa0c-2.csv
3,7,1,4fc058fd45c1498b0d26aa0c,https://timesmachine.nytimes.com/timesmachine/1912/01/07/100579417.pdf,none,100579417,1912,1912.016393442623,4fc058fd45c1498b0d26aa0c-3.csv
1,19,6,4fc055be45c1498b0d25c517,https://timesmachine.nytimes.com/timesmachine/1909/06/19/101740331.pdf,f,101740331,1909,1909.4630136986304,4fc055be45c1498b0d25c517-1.csv
2,19,6,4fc055be45c1498b0d25c517,https://timesmachine.nytimes.com/timesmachine/1909/06/19/101740331.pdf,m,101740331,1909,1909.4630136986304,4fc055be45c1498b0d25c517-2.csv
3,19,6,4fc055be45c1498b0d25c517,https://timesmachine.nytimes.com/timesmachine/1909/06/19/101740331.pdf,m,101740331,1909,1909.4630136986304,4fc055be45c1498b0d25c517-3.csv
4,19,6,4fc055be45c1498b0d25c517,https://timesmachine.nytimes.com/timesmachine/1909/06/19/101740331.pdf,m,101740331,1909,1909.4630136986304,4fc055be45c1498b0d25c517-4.csv
1,20,6,4fc086f345c1498b0d343392,https://timesmachine.nytimes.com/timesmachine/1915/06/20/104648177.pdf,none,104648177,1915,1915.4657534246576,4fc086f345c1498b0d343392-1.csv
2,20,6,4fc086f345c1498b0d343392,https://timesmachine.nytimes.com/timesmachine/1915/06/20/104648177.pdf,m,104648177,1915,1915.4657534246576,4fc086f345c1498b0d343392-2.csv
3,20,6,4fc086f345c1498b0d343392,https://timesmachine.nytimes.com/timesmachine/1915/06/20/104648177.pdf,m,104648177,1915,1915.4657534246576,4fc086f345c1498b0d343392-3.csv
4,20,6,4fc086f345c1498b0d343392,https://timesmachine.nytimes.com/timesmachine/1915/06/20/104648177.pdf,m,104648177,1915,1915.4657534246576,4fc086f345c1498b0d343392-4.csv
5,20,6,4fc086f345c1498b0d343392,https://timesmachine.nytimes.com/timesmachine/1915/06/20/104648177.pdf,f,104648177,1915,1915.4657534246576,4fc086f345c1498b0d343392-5.csv
6,20,6,4fc086f345c1498b0d343392,https://timesmachine.nytimes.com/timesmachine/1915/06/20/104648177.pdf,m,104648177,1915,1915.4657534246576,4fc086f345c1498b0d343392-6.csv
1,25,5,4fc06b2545c1498b0d2be61f,https://timesmachine.nytimes.com/timesmachine/1913/05/25/100267637.pdf,m,100267637,1913,1913.3945205479451,4fc06b2545c1498b0d2be61f-1.csv
2,25,5,4fc06b2545c1498b0d2be61f,https://timesmachine.nytimes.com/timesmachine/1913/05/25/100267637.pdf,m,100267637,1913,1913.3945205479451,4fc06b2545c1498b0d2be61f-2.csv
1,27,6,4fc086f345c1498b0d3433b9,https://timesmachine.nytimes.com/timesmachine/1915/06/27/301808532.pdf,m,301808532,1915,1915.4849315068493,4fc086f345c1498b0d3433b9-1.csv
2,27,6,4fc086f345c1498b0d3433b9,https://timesmachine.nytimes.com/timesmachine/1915/06/27/301808532.pdf,none,301808532,1915,1915.4849315068493,4fc086f345c1498b0d3433b9-2.csv
3,27,6,4fc086f345c1498b0d3433b9,https://timesmachine.nytimes.com/timesmachine/1915/06/27/301808532.pdf,dual,301808532,1915,1915.4849315068493,4fc086f345c1498b0d3433b9-3.csv
4,27,6,4fc086f345c1498b0d3433b9,https://timesmachine.nytimes.com/timesmachine/1915/06/27/301808532.pdf,f,301808532,1915,1915.4849315068493,4fc086f345c1498b0d3433b9-4.csv
5,27,6,4fc086f345c1498b0d3433b9,https://timesmachine.nytimes.com/timesmachine/1915/06/27/301808532.pdf,m,301808532,1915,1915.4849315068493,4fc086f345c1498b0d3433b9-5.csv
6,27,6,4fc086f345c1498b0d3433b9,https://timesmachine.nytimes.com/timesmachine/1915/06/27/301808532.pdf,f,301808532,1915,1915.4849315068493,4fc086f345c1498b0d3433b9-6.csv
7,27,6,4fc086f345c1498b0d3433b9,https://timesmachine.nytimes.com/timesmachine/1915/06/27/301808532.pdf,m,301808532,1915,1915.4849315068493,4fc086f345c1498b0d3433b9-7.csv
8,27,6,4fc086f345c1498b0d3433b9,https://timesmachine.nytimes.com/timesmachine/1915/06/27/301808532.pdf,m,301808532,1915,1915.4849315068493,4fc086f345c1498b0d3433b9-8.csv
1,8,6,4fc06b5c45c1498b0d2bf6e4,https://timesmachine.nytimes.com/timesmachine/1913/06/08/100627751.pdf,f,100627751,1913,1913.4328767123288,4fc06b5c45c1498b0d2bf6e4-1.csv
1,7,1,4fc059ea45c1498b0d26ebdc,https://timesmachine.nytimes.com/timesmachine/1912/01/07/100579433.pdf,m,100579433,1912,1912.016393442623,4fc059ea45c1498b0d26ebdc-1.csv
2,7,1,4fc059ea45c1498b0d26ebdc,https://timesmachine.nytimes.com/timesmachine/1912/01/07/100579433.pdf,m,100579433,1912,1912.016393442623,4fc059ea45c1498b0d26ebdc-2.csv
1,25,7,4fc061a245c1498b0d292572,https://timesmachine.nytimes.com/timesmachine/1915/07/25/104015739.pdf,m,104015739,1915,1915.5616438356165,4fc061a245c1498b0d292572-1.csv
1,16,11,4fc07f0c45c1498b0d321088,https://timesmachine.nytimes.com/timesmachine/1913/11/16/100661675.pdf,none,100661675,1913,1913.8739726027395,4fc07f0c45c1498b0d321088-1.csv
1,23,5,4fc094c845c1498b0d3840a2,https://timesmachine.nytimes.com/timesmachine/1920/05/23/118318986.pdf,m,118318986,1920,1920.3907103825136,4fc094c845c1498b0d3840a2-1.csv
